HYPERPARAMS
n_neurons_hl1 = 256
n_neurons_hl2 = 256
discount = 0.99
learning_rate = 0.001
##################################################
EP	reward	steps	d_start	d_end	covered	info
1	-50.6	100	0.0770	0.0532	0.0237	MAX STEPS 100 REACHED, DISTANCE 0.0532.
2	-45.3	100	0.0432	0.0513	-0.0081	MAX STEPS 100 REACHED, DISTANCE 0.0513.
3	-46.3	100	0.0528	0.0380	0.0148	MAX STEPS 100 REACHED, DISTANCE 0.0380.
4	-44.2	100	0.0253	0.0420	-0.0167	MAX STEPS 100 REACHED, DISTANCE 0.0420.
5	-52.5	100	0.0907	0.0781	0.0126	MAX STEPS 100 REACHED, DISTANCE 0.0781.
6	-48.3	100	0.0743	0.0328	0.0415	MAX STEPS 100 REACHED, DISTANCE 0.0328.
7	-52.1	100	0.0837	0.0800	0.0037	MAX STEPS 100 REACHED, DISTANCE 0.0800.
8	-37.6	100	0.0483	0.0338	0.0145	MAX STEPS 100 REACHED, DISTANCE 0.0338.
9	-50.4	100	0.0617	0.0578	0.0038	MAX STEPS 100 REACHED, DISTANCE 0.0578.
10	-47.3	100	0.0309	0.0863	-0.0554	MAX STEPS 100 REACHED, DISTANCE 0.0863.
11	-51.8	100	0.0959	0.0807	0.0151	MAX STEPS 100 REACHED, DISTANCE 0.0807.
12	-54.5	100	0.0899	0.0809	0.0089	MAX STEPS 100 REACHED, DISTANCE 0.0809.
13	-47.5	100	0.0565	0.0713	-0.0148	MAX STEPS 100 REACHED, DISTANCE 0.0713.
14	-45.7	100	0.0424	0.0516	-0.0092	MAX STEPS 100 REACHED, DISTANCE 0.0516.
15	-54.7	100	0.0850	0.1026	-0.0176	MAX STEPS 100 REACHED, DISTANCE 0.1026.
16	-55.9	100	0.0905	0.1055	-0.0150	MAX STEPS 100 REACHED, DISTANCE 0.1055.
17	-57.5	100	0.1155	0.1046	0.0108	MAX STEPS 100 REACHED, DISTANCE 0.1046.
18	-54.2	100	0.0964	0.0721	0.0243	MAX STEPS 100 REACHED, DISTANCE 0.0721.
19	-52.6	100	0.0824	0.0736	0.0087	MAX STEPS 100 REACHED, DISTANCE 0.0736.
20	-45.4	100	0.0320	0.0724	-0.0403	MAX STEPS 100 REACHED, DISTANCE 0.0724.
21	-59.0	100	0.1105	0.1374	-0.0269	MAX STEPS 100 REACHED, DISTANCE 0.1374.
22	-44.0	100	0.0377	0.0404	-0.0027	MAX STEPS 100 REACHED, DISTANCE 0.0404.
23	-42.4	100	0.0321	0.0565	-0.0244	MAX STEPS 100 REACHED, DISTANCE 0.0565.
24	-58.5	100	0.1162	0.1283	-0.0121	MAX STEPS 100 REACHED, DISTANCE 0.1283.
25	-55.0	100	0.0850	0.0956	-0.0106	MAX STEPS 100 REACHED, DISTANCE 0.0956.
26	-140.7	77	0.0349	0.1064	-0.0716	ACTUATOR EXCEEDED: l1 = 0.0740 @step 77
27	-145.2	93	0.0673	0.0700	-0.0027	ACTUATOR EXCEEDED: l1 = 0.0740 @step 93
28	-150.0	88	0.1105	0.1134	-0.0028	ACTUATOR EXCEEDED: l1 = 0.0740 @step 88
29	-57.0	100	0.0865	0.1149	-0.0284	MAX STEPS 100 REACHED, DISTANCE 0.1149.
30	-51.7	100	0.0657	0.0998	-0.0341	MAX STEPS 100 REACHED, DISTANCE 0.0998.
31	-37.7	100	0.0354	0.0279	0.0075	MAX STEPS 100 REACHED, DISTANCE 0.0279.
32	-48.0	100	0.0478	0.0806	-0.0328	MAX STEPS 100 REACHED, DISTANCE 0.0806.
33	-34.1	100	0.0145	0.0137	0.0008	MAX STEPS 100 REACHED, DISTANCE 0.0137.
34	-46.0	100	0.0527	0.0530	-0.0003	MAX STEPS 100 REACHED, DISTANCE 0.0530.
35	-57.8	100	0.1092	0.1119	-0.0027	MAX STEPS 100 REACHED, DISTANCE 0.1119.
36	-50.6	100	0.0674	0.0730	-0.0055	MAX STEPS 100 REACHED, DISTANCE 0.0730.
37	-141.6	73	0.0970	0.1112	-0.0142	ACTUATOR EXCEEDED: l1 = 0.0740 @step 73
38	-49.4	100	0.0757	0.0528	0.0229	MAX STEPS 100 REACHED, DISTANCE 0.0528.
39	-55.4	100	0.0598	0.1058	-0.0460	MAX STEPS 100 REACHED, DISTANCE 0.1058.
40	-148.8	86	0.0897	0.1257	-0.0360	ACTUATOR EXCEEDED: l1 = 0.0740 @step 86
41	-129.1	72	0.0345	0.0670	-0.0324	ACTUATOR EXCEEDED: l1 = 0.0740 @step 72
42	-57.0	100	0.0595	0.1422	-0.0826	MAX STEPS 100 REACHED, DISTANCE 0.1422.
43	-134.4	76	0.0596	0.0472	0.0124	ACTUATOR EXCEEDED: l1 = 0.0740 @step 76
44	-137.7	69	0.0730	0.1098	-0.0368	ACTUATOR EXCEEDED: l1 = 0.0740 @step 69
45	-47.3	100	0.0548	0.0444	0.0103	MAX STEPS 100 REACHED, DISTANCE 0.0444.
46	-56.0	100	0.1062	0.0872	0.0189	MAX STEPS 100 REACHED, DISTANCE 0.0872.
47	-56.1	100	0.0844	0.1174	-0.0330	MAX STEPS 100 REACHED, DISTANCE 0.1174.
48	-52.0	100	0.1062	0.0553	0.0509	MAX STEPS 100 REACHED, DISTANCE 0.0553.
49	-49.4	100	0.0774	0.0601	0.0172	MAX STEPS 100 REACHED, DISTANCE 0.0601.
50	-44.8	100	0.0585	0.0293	0.0292	MAX STEPS 100 REACHED, DISTANCE 0.0293.
51	-137.1	93	0.0515	0.0492	0.0023	ACTUATOR EXCEEDED: l1 = 0.0740 @step 93
52	-58.6	100	0.0872	0.1332	-0.0460	MAX STEPS 100 REACHED, DISTANCE 0.1332.
53	-45.4	100	0.0667	0.0236	0.0431	MAX STEPS 100 REACHED, DISTANCE 0.0236.
54	-42.9	100	0.0369	0.0696	-0.0327	MAX STEPS 100 REACHED, DISTANCE 0.0696.
55	-52.4	100	0.0699	0.0888	-0.0189	MAX STEPS 100 REACHED, DISTANCE 0.0888.
56	-40.9	100	0.0327	0.0316	0.0011	MAX STEPS 100 REACHED, DISTANCE 0.0316.
57	-49.3	100	0.1011	0.0500	0.0511	MAX STEPS 100 REACHED, DISTANCE 0.0500.
58	-149.7	99	0.0648	0.0867	-0.0218	ACTUATOR EXCEEDED: l1 = 0.0740 @step 99
59	-139.9	76	0.0541	0.0959	-0.0419	ACTUATOR EXCEEDED: l1 = 0.0740 @step 76
60	-41.5	100	0.0407	0.0210	0.0196	MAX STEPS 100 REACHED, DISTANCE 0.0210.
61	-54.8	100	0.0563	0.1079	-0.0516	MAX STEPS 100 REACHED, DISTANCE 0.1079.
62	-54.6	100	0.1008	0.0821	0.0187	MAX STEPS 100 REACHED, DISTANCE 0.0821.
63	-44.1	100	0.0725	0.0124	0.0601	MAX STEPS 100 REACHED, DISTANCE 0.0124.
64	-53.8	100	0.0964	0.0812	0.0152	MAX STEPS 100 REACHED, DISTANCE 0.0812.
65	-55.6	100	0.0870	0.0996	-0.0126	MAX STEPS 100 REACHED, DISTANCE 0.0996.
66	-58.2	100	0.0981	0.1280	-0.0299	MAX STEPS 100 REACHED, DISTANCE 0.1280.
67	-54.3	100	0.0973	0.0953	0.0020	MAX STEPS 100 REACHED, DISTANCE 0.0953.
68	-57.0	100	0.1003	0.1000	0.0003	MAX STEPS 100 REACHED, DISTANCE 0.1000.
69	-47.6	100	0.0553	0.0412	0.0141	MAX STEPS 100 REACHED, DISTANCE 0.0412.
70	-56.8	100	0.0903	0.1057	-0.0153	MAX STEPS 100 REACHED, DISTANCE 0.1057.
71	-43.7	100	0.0228	0.0371	-0.0143	MAX STEPS 100 REACHED, DISTANCE 0.0371.
72	-52.3	100	0.0747	0.1002	-0.0255	MAX STEPS 100 REACHED, DISTANCE 0.1002.
73	-48.1	100	0.0525	0.0637	-0.0112	MAX STEPS 100 REACHED, DISTANCE 0.0637.
74	-39.3	100	0.0230	0.0339	-0.0109	MAX STEPS 100 REACHED, DISTANCE 0.0339.
75	-49.1	100	0.0695	0.0559	0.0137	MAX STEPS 100 REACHED, DISTANCE 0.0559.
76	-48.3	100	0.0348	0.0665	-0.0317	MAX STEPS 100 REACHED, DISTANCE 0.0665.
77	-44.0	100	0.0393	0.0626	-0.0233	MAX STEPS 100 REACHED, DISTANCE 0.0626.
78	-56.7	100	0.1078	0.1050	0.0028	MAX STEPS 100 REACHED, DISTANCE 0.1050.
79	-139.4	83	0.0365	0.0906	-0.0541	ACTUATOR EXCEEDED: l3 = 0.0740 @step 83
80	-54.2	100	0.0690	0.0796	-0.0106	MAX STEPS 100 REACHED, DISTANCE 0.0796.
81	-139.7	69	0.1129	0.1140	-0.0011	ACTUATOR EXCEEDED: l3 = 0.0740 @step 69
82	-48.7	100	0.0649	0.0509	0.0139	MAX STEPS 100 REACHED, DISTANCE 0.0509.
83	-53.2	100	0.0839	0.0525	0.0314	MAX STEPS 100 REACHED, DISTANCE 0.0525.
84	-147.8	92	0.0935	0.0609	0.0326	ACTUATOR EXCEEDED: l1 = 0.0740 @step 92
85	-44.5	100	0.0470	0.0401	0.0070	MAX STEPS 100 REACHED, DISTANCE 0.0401.
86	-38.0	100	0.0162	0.0217	-0.0054	MAX STEPS 100 REACHED, DISTANCE 0.0217.
87	-55.2	100	0.0892	0.0759	0.0132	MAX STEPS 100 REACHED, DISTANCE 0.0759.
88	-129.8	61	0.0845	0.0410	0.0436	ACTUATOR EXCEEDED: l3 = 0.0740 @step 61
89	-55.9	100	0.1107	0.1014	0.0094	MAX STEPS 100 REACHED, DISTANCE 0.1014.
90	-49.8	100	0.0309	0.0689	-0.0380	MAX STEPS 100 REACHED, DISTANCE 0.0689.
91	-55.6	100	0.0922	0.0990	-0.0068	MAX STEPS 100 REACHED, DISTANCE 0.0990.
92	-46.1	100	0.0910	0.0332	0.0578	MAX STEPS 100 REACHED, DISTANCE 0.0332.
93	-144.9	78	0.1120	0.1191	-0.0072	ACTUATOR EXCEEDED: l1 = 0.0740 @step 78
94	-48.5	100	0.0686	0.0356	0.0331	MAX STEPS 100 REACHED, DISTANCE 0.0356.
95	-138.7	78	0.0594	0.0731	-0.0137	ACTUATOR EXCEEDED: l2 = 0.0740 @step 78
96	-45.1	100	0.0349	0.0570	-0.0221	MAX STEPS 100 REACHED, DISTANCE 0.0570.
97	-49.2	100	0.0757	0.0725	0.0032	MAX STEPS 100 REACHED, DISTANCE 0.0725.
98	-48.9	100	0.0452	0.0640	-0.0188	MAX STEPS 100 REACHED, DISTANCE 0.0640.
99	-148.4	97	0.0502	0.0853	-0.0351	ACTUATOR EXCEEDED: l1 = 0.0740 @step 97
100	-149.3	97	0.0434	0.0937	-0.0502	ACTUATOR EXCEEDED: l3 = 0.0740 @step 97
101	-45.1	100	0.0487	0.0457	0.0029	MAX STEPS 100 REACHED, DISTANCE 0.0457.
102	-49.3	100	0.0483	0.0656	-0.0172	MAX STEPS 100 REACHED, DISTANCE 0.0656.
103	-38.2	100	0.0266	0.0342	-0.0076	MAX STEPS 100 REACHED, DISTANCE 0.0342.
104	-42.1	100	0.0308	0.0306	0.0002	MAX STEPS 100 REACHED, DISTANCE 0.0306.
105	-49.4	100	0.0208	0.0718	-0.0510	MAX STEPS 100 REACHED, DISTANCE 0.0718.
106	-137.6	69	0.1190	0.0621	0.0569	ACTUATOR EXCEEDED: l2 = 0.0740 @step 69
107	-55.6	100	0.0876	0.0778	0.0098	MAX STEPS 100 REACHED, DISTANCE 0.0778.
108	-47.9	100	0.0428	0.0534	-0.0106	MAX STEPS 100 REACHED, DISTANCE 0.0534.
109	-55.1	100	0.0713	0.0907	-0.0194	MAX STEPS 100 REACHED, DISTANCE 0.0907.
110	-147.1	83	0.0631	0.1270	-0.0639	ACTUATOR EXCEEDED: l2 = 0.0740 @step 83
111	-51.3	100	0.0703	0.0573	0.0130	MAX STEPS 100 REACHED, DISTANCE 0.0573.
112	-54.6	100	0.0651	0.0969	-0.0317	MAX STEPS 100 REACHED, DISTANCE 0.0969.
113	-46.5	100	0.0386	0.0541	-0.0155	MAX STEPS 100 REACHED, DISTANCE 0.0541.
114	-132.5	66	0.0895	0.0239	0.0655	ACTUATOR EXCEEDED: l2 = 0.0740 @step 66
115	-41.9	100	0.0467	0.0288	0.0179	MAX STEPS 100 REACHED, DISTANCE 0.0288.
116	-42.9	100	0.0388	0.0686	-0.0298	MAX STEPS 100 REACHED, DISTANCE 0.0686.
117	-52.8	100	0.0356	0.0934	-0.0577	MAX STEPS 100 REACHED, DISTANCE 0.0934.
118	-56.3	100	0.1017	0.1047	-0.0030	MAX STEPS 100 REACHED, DISTANCE 0.1047.
