HYPERPARAMS
version: 1	h1_size: 512	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	-20.4	500	0.1055	0.1096	-0.0041	False
1	1.8	500	0.0473	0.0469	0.0004	False
2	94.0	500	0.0704	0.0516	0.0188	False
3	70.2	500	0.0774	0.0633	0.0140	False
4	141.5	500	0.1170	0.0887	0.0283	False
5	60.1	500	0.0176	0.0056	0.0120	False
6	82.1	500	0.0866	0.0702	0.0164	False
7	58.1	500	0.1047	0.0930	0.0116	False
8	-68.2	500	0.0754	0.0890	-0.0136	False
9	237.8	500	0.1047	0.0571	0.0476	False
10	63.8	500	0.0478	0.0350	0.0128	False
11	110.6	500	0.1185	0.0964	0.0221	False
12	135.6	500	0.0428	0.0157	0.0271	False
13	13.3	500	0.0589	0.0562	0.0027	False
14	140.7	500	0.0602	0.0320	0.0281	False
15	308.2	500	0.0847	0.0231	0.0616	False
16	282.2	500	0.0988	0.0423	0.0564	False
17	61.5	500	0.0715	0.0592	0.0123	False
18	7.3	500	0.0417	0.0402	0.0015	False
19	116.3	500	0.0352	0.0119	0.0233	False
20	67.3	500	0.0492	0.0357	0.0135	False
21	290.9	500	0.0864	0.0282	0.0582	False
22	-124.4	500	0.0118	0.0367	-0.0249	False
23	346.5	500	0.0842	0.0149	0.0693	False
24	98.3	500	0.0932	0.0735	0.0197	False
25	305.6	500	0.0928	0.0317	0.0611	False
26	-53.4	500	0.0138	0.0245	-0.0107	False
27	-136.3	500	0.0117	0.0390	-0.0273	False
28	145.2	500	0.1198	0.0907	0.0290	False
29	95.0	500	0.0567	0.0377	0.0190	False
30	357.3	500	0.1127	0.0413	0.0715	False
31	160.6	500	0.0563	0.0242	0.0321	False
32	47.4	500	0.0471	0.0376	0.0095	False
33	98.9	500	0.1027	0.0829	0.0198	False
34	70.9	500	0.0462	0.0320	0.0142	False
35	12.5	500	0.0612	0.0587	0.0025	False
36	20.8	500	0.0582	0.0540	0.0042	False
37	326.1	500	0.1162	0.0510	0.0652	False
38	32.8	500	0.0917	0.0852	0.0066	False
39	-0.5	500	0.0770	0.0771	-0.0001	False
40	155.7	500	0.0560	0.0249	0.0311	False
41	61.0	500	0.0361	0.0239	0.0122	False
42	276.2	500	0.0773	0.0220	0.0552	False
43	146.2	500	0.1070	0.0777	0.0292	False
44	-44.9	500	0.0942	0.1032	-0.0090	False
45	156.2	500	0.0472	0.0160	0.0312	False
46	341.0	500	0.1001	0.0319	0.0682	False
47	289.0	500	0.0952	0.0374	0.0578	False
48	78.7	500	0.0863	0.0706	0.0157	False
49	-130.5	500	0.0293	0.0554	-0.0261	False
50	197.8	500	0.0989	0.0593	0.0396	False
51	-4.2	500	0.0410	0.0418	-0.0008	False
52	17.3	500	0.0598	0.0564	0.0035	False
53	256.5	500	0.1003	0.0490	0.0513	False
54	100.7	500	0.0545	0.0344	0.0201	False
55	13.4	500	0.0396	0.0369	0.0027	False
56	27.0	500	0.0660	0.0606	0.0054	False
57	2.3	500	0.0599	0.0595	0.0005	False
58	90.7	500	0.1039	0.0858	0.0181	False
59	-54.0	500	0.0219	0.0327	-0.0108	False
60	48.9	500	0.0437	0.0339	0.0098	False
61	51.8	500	0.0612	0.0509	0.0104	False
62	113.4	500	0.0992	0.0765	0.0227	False
63	-7.0	500	0.0434	0.0448	-0.0014	False
64	38.1	500	0.1029	0.0953	0.0076	False
65	19.6	500	0.0465	0.0426	0.0039	False
66	90.1	500	0.0560	0.0379	0.0180	False
67	52.6	500	0.0473	0.0368	0.0105	False
68	159.1	500	0.0493	0.0174	0.0318	False
69	46.5	500	0.0706	0.0614	0.0093	False
70	239.8	500	0.0847	0.0367	0.0480	False
71	376.3	500	0.1004	0.0252	0.0753	False
72	2.8	500	0.0158	0.0152	0.0006	False
73	-33.1	500	0.0334	0.0401	-0.0066	False
74	72.1	500	0.1087	0.0943	0.0144	False
75	256.9	500	0.1041	0.0527	0.0514	False
76	69.4	500	0.0540	0.0401	0.0139	False
77	329.2	500	0.1002	0.0344	0.0658	False
78	89.2	500	0.0986	0.0808	0.0178	False
79	-0.7	500	0.0143	0.0145	-0.0001	False
80	77.5	500	0.0895	0.0740	0.0155	False
81	71.4	500	0.0473	0.0330	0.0143	False
82	102.9	500	0.1068	0.0862	0.0206	False
83	56.6	500	0.0848	0.0734	0.0113	False
84	323.8	500	0.0922	0.0275	0.0648	False
85	127.0	500	0.0680	0.0426	0.0254	False
86	267.7	500	0.0912	0.0376	0.0535	False
87	393.8	500	0.0969	0.0182	0.0788	False
88	246.8	500	0.1166	0.0672	0.0494	False
89	38.5	500	0.0486	0.0409	0.0077	False
90	259.1	500	0.0832	0.0314	0.0518	False
91	18.4	500	0.0323	0.0286	0.0037	False
92	138.3	500	0.0461	0.0184	0.0277	False
93	114.2	500	0.0920	0.0692	0.0228	False
94	165.5	500	0.0680	0.0349	0.0331	False
95	76.9	500	0.0462	0.0308	0.0154	False
96	347.9	500	0.1021	0.0325	0.0696	False
97	-19.8	500	0.0215	0.0255	-0.0040	False
98	249.4	500	0.0861	0.0362	0.0499	False
99	100.7	500	0.0471	0.0269	0.0201	False
100	361.5	500	0.1020	0.0297	0.0723	False
101	224.4	500	0.1070	0.0622	0.0449	False
102	394.6	500	0.1049	0.0260	0.0789	False
103	116.7	500	0.0665	0.0432	0.0233	False
104	-55.3	500	0.0348	0.0459	-0.0111	False
105	228.8	500	0.0658	0.0201	0.0458	False
106	190.6	500	0.0636	0.0254	0.0381	False
107	80.6	500	0.0515	0.0353	0.0161	False
108	434.9	500	0.1076	0.0206	0.0870	False
109	21.2	500	0.0399	0.0357	0.0042	False
110	106.3	500	0.0564	0.0352	0.0213	False
111	174.2	500	0.0633	0.0285	0.0348	False
112	36.2	500	0.0233	0.0161	0.0072	False
113	-109.8	500	0.0238	0.0458	-0.0220	False
114	198.1	500	0.0822	0.0426	0.0396	False
115	184.8	500	0.0903	0.0533	0.0370	False
116	49.6	500	0.0451	0.0352	0.0099	False
117	290.2	500	0.0969	0.0389	0.0580	False
118	165.6	500	0.0686	0.0355	0.0331	False
119	156.6	500	0.0685	0.0372	0.0313	False
120	36.3	500	0.0679	0.0606	0.0073	False
121	318.1	500	0.0956	0.0320	0.0636	False
122	259.2	500	0.0773	0.0255	0.0518	False
123	298.1	500	0.0988	0.0392	0.0596	False
124	85.6	500	0.0436	0.0265	0.0171	False
125	41.9	500	0.0422	0.0339	0.0084	False
126	420.8	500	0.1060	0.0219	0.0842	False
127	222.3	500	0.0531	0.0087	0.0445	False
128	136.0	500	0.0580	0.0308	0.0272	False
129	338.5	500	0.0958	0.0281	0.0677	False
130	368.0	500	0.0895	0.0159	0.0736	False
131	181.4	500	0.0703	0.0340	0.0363	False
132	300.5	500	0.0786	0.0185	0.0601	False
133	459.7	500	0.1054	0.0134	0.0919	False
134	298.5	500	0.0785	0.0188	0.0597	False
135	257.0	500	0.0927	0.0413	0.0514	False
136	163.5	500	0.0542	0.0215	0.0327	False
137	299.5	500	0.0790	0.0191	0.0599	False
138	414.5	500	0.0961	0.0132	0.0829	False
139	28.1	500	0.0438	0.0382	0.0056	False
140	141.9	500	0.0581	0.0298	0.0284	False
141	60.6	500	0.0696	0.0574	0.0121	False
142	67.2	500	0.0424	0.0289	0.0134	False
143	86.5	500	0.0587	0.0414	0.0173	False
144	-28.5	500	0.0223	0.0280	-0.0057	False
145	139.5	500	0.0602	0.0323	0.0279	False
146	96.3	500	0.0492	0.0299	0.0193	False
147	133.0	500	0.0669	0.0403	0.0266	False
148	-15.4	500	0.0338	0.0369	-0.0031	False
149	-48.6	500	0.0253	0.0351	-0.0097	False
150	39.8	500	0.0564	0.0484	0.0080	False
151	272.9	500	0.0982	0.0436	0.0546	False
152	313.0	500	0.1061	0.0435	0.0626	False
153	41.6	500	0.0434	0.0351	0.0083	False
154	147.0	500	0.0893	0.0599	0.0294	False
155	175.7	500	0.1087	0.0735	0.0351	False
156	392.1	500	0.0997	0.0213	0.0784	False
157	10.4	500	0.0425	0.0404	0.0021	False
158	258.6	500	0.0813	0.0296	0.0517	False
159	145.1	500	0.0786	0.0496	0.0290	False
160	96.1	500	0.0474	0.0282	0.0192	False
161	54.2	500	0.0433	0.0324	0.0108	False
162	17.6	500	0.0390	0.0355	0.0035	False
163	268.5	500	0.0875	0.0338	0.0537	False
164	17.5	500	0.0440	0.0405	0.0035	False
165	46.3	500	0.0697	0.0604	0.0093	False
166	-46.8	500	0.0155	0.0248	-0.0094	False
167	178.9	500	0.0983	0.0625	0.0358	False
168	154.6	500	0.0876	0.0567	0.0309	False
169	32.0	500	0.0459	0.0395	0.0064	False
170	231.1	500	0.0775	0.0313	0.0462	False
171	22.6	500	0.0370	0.0325	0.0045	False
172	170.7	500	0.0800	0.0458	0.0341	False
173	41.4	500	0.0479	0.0396	0.0083	False
174	395.3	500	0.1005	0.0215	0.0791	False
175	28.7	500	0.0244	0.0187	0.0057	False
176	130.5	500	0.0810	0.0549	0.0261	False
177	223.1	500	0.0947	0.0501	0.0446	False
178	465.4	500	0.1021	0.0090	0.0931	False
179	203.2	500	0.0826	0.0419	0.0406	False
180	88.1	500	0.0429	0.0253	0.0176	False
181	19.9	500	0.0456	0.0417	0.0040	False
182	188.1	500	0.0563	0.0187	0.0376	False
183	68.8	500	0.0852	0.0714	0.0138	False
184	187.5	500	0.0919	0.0544	0.0375	False
185	120.5	500	0.0599	0.0358	0.0241	False
186	136.3	500	0.0537	0.0264	0.0273	False
187	-10.4	500	0.0483	0.0504	-0.0021	False
188	48.5	500	0.0416	0.0319	0.0097	False
189	469.1	500	0.1037	0.0099	0.0938	False
190	242.1	500	0.0942	0.0458	0.0484	False
191	173.3	500	0.0489	0.0142	0.0347	False
192	10.0	500	0.0208	0.0188	0.0020	False
193	12.7	500	0.0466	0.0440	0.0025	False
194	471.4	500	0.1119	0.0176	0.0943	False
195	288.3	500	0.0723	0.0147	0.0577	False
196	-37.7	500	0.0244	0.0320	-0.0075	False
197	396.2	500	0.1031	0.0238	0.0792	False
198	599.7	264	0.0730	0.0029	0.0700	True
199	-21.6	500	0.0487	0.0530	-0.0043	False
200	8.1	500	0.0519	0.0503	0.0016	False
201	298.2	500	0.0954	0.0357	0.0596	False
202	49.4	500	0.0327	0.0228	0.0099	False
203	175.5	500	0.0786	0.0435	0.0351	False
204	393.4	500	0.0974	0.0188	0.0787	False
205	-7.6	500	0.0151	0.0166	-0.0015	False
206	8.3	500	0.0389	0.0372	0.0017	False
207	302.7	500	0.0852	0.0246	0.0605	False
208	322.0	500	0.0881	0.0237	0.0644	False
209	297.4	500	0.0788	0.0193	0.0595	False
210	286.7	500	0.0822	0.0249	0.0573	False
211	68.7	500	0.0269	0.0131	0.0137	False
212	-86.8	500	0.0292	0.0466	-0.0174	False
213	37.5	500	0.0672	0.0597	0.0075	False
214	-122.9	500	0.0201	0.0447	-0.0246	False
215	129.8	500	0.0592	0.0332	0.0260	False
216	201.5	500	0.0633	0.0230	0.0403	False
217	228.1	500	0.0683	0.0227	0.0456	False
218	295.2	500	0.0961	0.0370	0.0590	False
219	350.1	500	0.0819	0.0119	0.0700	False
220	728.0	397	0.0987	0.0030	0.0957	True
221	89.1	500	0.0575	0.0397	0.0178	False
222	247.6	500	0.0577	0.0081	0.0495	False
223	320.8	500	0.0858	0.0216	0.0642	False
224	531.6	500	0.1113	0.0050	0.1063	False
225	140.5	500	0.0419	0.0138	0.0281	False
226	57.7	500	0.0664	0.0549	0.0115	False
227	-71.7	500	0.0146	0.0290	-0.0143	False
228	34.1	500	0.0382	0.0314	0.0068	False
229	88.1	500	0.0613	0.0437	0.0176	False
230	327.8	500	0.0959	0.0303	0.0656	False
231	11.4	500	0.0635	0.0612	0.0023	False
232	274.0	500	0.0793	0.0245	0.0548	False
233	115.3	500	0.0463	0.0233	0.0231	False
234	62.9	500	0.0489	0.0363	0.0126	False
235	551.7	166	0.0634	0.0028	0.0606	True
236	51.0	500	0.0317	0.0215	0.0102	False
237	-49.1	500	0.0154	0.0252	-0.0098	False
238	174.9	500	0.0699	0.0350	0.0350	False
239	14.3	500	0.0400	0.0371	0.0029	False
240	110.4	500	0.0392	0.0172	0.0221	False
241	-1.5	500	0.0310	0.0313	-0.0003	False
242	462.0	500	0.1080	0.0156	0.0924	False
243	434.7	500	0.1014	0.0144	0.0869	False
244	258.2	500	0.0794	0.0278	0.0516	False
245	-120.0	500	0.0225	0.0465	-0.0240	False
246	376.0	500	0.1022	0.0270	0.0752	False
247	188.7	500	0.0719	0.0342	0.0377	False
248	-7.1	500	0.0419	0.0433	-0.0014	False
249	68.2	500	0.0832	0.0696	0.0136	False
250	-6.8	500	0.0281	0.0295	-0.0014	False
251	355.8	500	0.0849	0.0138	0.0712	False
252	194.9	500	0.0677	0.0287	0.0390	False
253	86.0	500	0.0616	0.0444	0.0172	False
254	107.4	500	0.0541	0.0326	0.0215	False
255	110.3	500	0.0358	0.0138	0.0221	False
256	181.8	500	0.0624	0.0261	0.0364	False
257	107.4	500	0.0611	0.0396	0.0215	False
258	166.6	500	0.0653	0.0320	0.0333	False
259	297.4	500	0.0906	0.0311	0.0595	False
260	221.6	500	0.1069	0.0625	0.0443	False
261	457.3	500	0.1022	0.0108	0.0915	False
262	220.3	500	0.0750	0.0310	0.0441	False
263	355.6	500	0.0874	0.0163	0.0711	False
264	418.5	500	0.1034	0.0197	0.0837	False
265	36.1	500	0.0568	0.0495	0.0072	False
266	275.6	500	0.0735	0.0183	0.0551	False
267	329.7	500	0.1049	0.0389	0.0659	False
268	204.5	500	0.0815	0.0406	0.0409	False
269	239.6	500	0.0804	0.0325	0.0479	False
270	202.0	500	0.0569	0.0165	0.0404	False
271	126.9	500	0.0823	0.0569	0.0254	False
272	611.0	267	0.0753	0.0030	0.0723	True
273	144.9	500	0.0627	0.0337	0.0290	False
274	-43.9	500	0.0347	0.0435	-0.0088	False
275	743.9	269	0.1018	0.0029	0.0989	True
276	239.1	500	0.0715	0.0237	0.0478	False
277	198.2	500	0.0546	0.0150	0.0396	False
278	-128.6	500	0.0065	0.0322	-0.0257	False
279	159.9	500	0.0833	0.0513	0.0320	False
280	314.4	500	0.0838	0.0210	0.0629	False
281	-51.3	500	0.0292	0.0394	-0.0103	False
282	-2.2	500	0.0377	0.0381	-0.0004	False
283	-0.9	500	0.0445	0.0447	-0.0002	False
284	-116.5	500	0.0175	0.0408	-0.0233	False
285	250.2	500	0.0586	0.0086	0.0500	False
286	299.1	500	0.0761	0.0163	0.0598	False
287	274.5	500	0.0917	0.0368	0.0549	False
288	-21.5	500	0.0280	0.0323	-0.0043	False
289	181.8	500	0.1145	0.0782	0.0364	False
290	162.4	500	0.0581	0.0257	0.0325	False
291	470.0	500	0.1095	0.0155	0.0940	False
292	15.1	500	0.0267	0.0237	0.0030	False
293	146.3	500	0.0773	0.0480	0.0293	False
294	90.6	500	0.0713	0.0531	0.0181	False
295	340.4	500	0.0886	0.0205	0.0681	False
296	807.5	289	0.1146	0.0029	0.1117	True
297	341.5	500	0.0843	0.0160	0.0683	False
298	140.2	500	0.0379	0.0099	0.0280	False
299	-19.3	500	0.0433	0.0472	-0.0039	False
300	115.4	500	0.0597	0.0366	0.0231	False
301	47.4	500	0.0379	0.0285	0.0095	False
302	167.7	500	0.0824	0.0488	0.0335	False
