HYPERPARAMS
version: 12	h1_size: 1024	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	new_r	E[r]	steps	start_d	end_d	covered	goal
0	-467.0	-84.1	0.0	500	0.0929	0.0097	0.0832	0
1	-691.7	-453.3	-84.1	500	0.0440	0.0346	0.0093	0
2	-541.6	-329.1	-268.7	500	0.0615	0.0273	0.0342	0
3	-473.1	-209.1	-288.8	500	0.1120	0.0538	0.0582	0
4	-817.0	-513.0	-268.9	500	0.0475	0.0501	-0.0026	0
5	-760.2	-373.0	-317.7	500	0.0428	0.0174	0.0254	0
6	-656.7	-568.4	-326.9	500	0.1110	0.1247	-0.0137	0
7	-678.1	-180.8	-361.4	500	0.0886	0.0248	0.0638	0
8	-735.2	-505.6	-338.9	500	0.0501	0.0513	-0.0011	0
9	-462.5	-342.6	-357.4	500	0.0650	0.0335	0.0315	0
10	-790.2	-531.8	-355.9	500	0.0814	0.0878	-0.0064	0
11	-382.3	-195.6	-371.9	500	0.0981	0.0372	0.0609	0
12	-261.8	-52.2	-357.2	500	0.1114	0.0219	0.0896	0
13	-773.8	-555.9	-333.7	500	0.0800	0.0912	-0.0112	0
14	-332.9	-203.6	-349.6	500	0.0884	0.0292	0.0593	0
15	-805.7	-531.6	-339.9	500	0.0421	0.0484	-0.0063	0
16	-626.2	-490.4	-351.9	500	0.0306	0.0287	0.0019	0
17	-405.1	-451.8	-360.0	500	0.0684	0.0588	0.0096	0
18	-508.7	153.9	-365.1	146	0.0128	0.0030	0.0098	1
19	-441.4	-442.0	-337.8	500	0.0841	0.0725	0.0116	0
20	-454.4	-454.4	-343.0	500	0.0786	0.0695	0.0091	0
21	-431.7	-431.7	-348.3	500	0.1055	0.0918	0.0137	0
22	-472.0	-433.5	-352.1	500	0.0482	0.0349	0.0133	0
23	-434.3	-434.3	-355.6	500	0.0952	0.0821	0.0131	0
24	-476.3	-476.3	-358.9	500	0.0696	0.0649	0.0047	0
25	-421.0	-261.2	-363.6	500	0.1004	0.0526	0.0478	0
26	-710.7	-536.5	-359.7	500	0.0385	0.0458	-0.0073	0
27	-457.2	-276.7	-366.2	500	0.0559	0.0113	0.0447	0
28	-393.6	-349.2	-363.0	500	0.0579	0.0278	0.0302	0
29	-286.6	-361.6	-362.5	500	0.0765	0.0488	0.0277	0
30	-756.7	-528.5	-362.5	500	0.0381	0.0438	-0.0057	0
31	-575.9	-522.3	-367.9	500	0.0359	0.0404	-0.0045	0
32	-501.9	-501.9	-372.7	500	0.0523	0.0526	-0.0004	0
33	-448.0	-448.0	-376.6	500	0.0774	0.0670	0.0104	0
34	-468.3	-468.3	-378.7	500	0.0310	0.0246	0.0063	0
35	-452.3	-452.3	-381.3	500	0.0823	0.0728	0.0095	0
36	-417.9	-417.9	-383.2	500	0.1057	0.0892	0.0164	0
37	-400.9	-400.9	-384.2	500	0.1119	0.0920	0.0198	0
38	-490.1	-490.1	-384.6	500	0.0681	0.0661	0.0020	0
39	-443.1	-443.1	-387.3	500	0.0749	0.0635	0.0114	0
40	-457.2	-457.2	-388.7	500	0.0716	0.0630	0.0086	0
41	-512.9	-512.9	-390.4	500	0.0419	0.0444	-0.0026	0
42	-432.4	-432.4	-393.3	500	0.0785	0.0650	0.0135	0
43	-436.4	-436.4	-394.2	500	0.0789	0.0662	0.0127	0
44	-469.7	-469.7	-395.2	500	0.0381	0.0321	0.0061	0
45	-468.9	-468.9	-396.8	500	0.0732	0.0670	0.0062	0
46	-530.0	-530.0	-398.4	500	0.0273	0.0332	-0.0060	0
47	-424.3	-424.3	-401.2	500	0.1063	0.0912	0.0151	0
48	-551.8	-551.8	-401.7	500	0.0346	0.0450	-0.0104	0
49	-451.2	-451.2	-404.7	500	0.0830	0.0732	0.0098	0
50	-436.6	-436.6	-405.7	500	0.0821	0.0694	0.0127	0
51	-457.6	-457.6	-406.3	500	0.0471	0.0386	0.0085	0
52	-452.5	-452.5	-407.3	500	0.0813	0.0718	0.0095	0
53	-593.0	-593.0	-408.1	500	0.0151	0.0337	-0.0186	0
54	-495.1	-495.1	-411.5	500	0.0239	0.0229	0.0010	0
55	-432.6	-432.6	-413.1	500	0.0871	0.0737	0.0135	0
56	-436.4	-436.4	-413.4	500	0.0918	0.0791	0.0127	0
57	-468.9	-468.9	-413.8	500	0.0735	0.0673	0.0062	0
58	-497.1	-497.1	-414.8	500	0.0244	0.0239	0.0006	0
59	-490.8	-490.8	-416.2	500	0.0153	0.0135	0.0018	0
60	-479.2	-479.2	-417.4	500	0.0391	0.0350	0.0042	0
61	-433.7	-433.7	-418.4	500	0.0853	0.0720	0.0133	0
62	-467.0	-447.5	-418.7	500	0.0726	0.0621	0.0105	0
63	-458.2	-437.5	-419.1	500	0.0580	0.0455	0.0125	0
64	-450.3	-450.3	-419.4	500	0.0743	0.0644	0.0099	0
65	-476.4	-476.4	-419.9	500	0.0272	0.0225	0.0047	0
66	-447.2	-447.2	-420.7	500	0.0671	0.0566	0.0106	0
67	-493.6	-493.6	-421.1	500	0.0362	0.0349	0.0013	0
68	-461.8	-461.8	-422.2	500	0.0580	0.0504	0.0076	0
69	-503.1	-503.1	-422.8	500	0.0535	0.0541	-0.0006	0
70	-461.7	-461.7	-423.9	500	0.0636	0.0560	0.0077	0
71	-421.3	-421.3	-424.5	500	0.0984	0.0827	0.0157	0
72	-465.7	-465.7	-424.4	500	0.0723	0.0654	0.0069	0
73	-485.2	-485.2	-425.0	500	0.0466	0.0436	0.0030	0
74	-428.4	-428.4	-425.8	500	0.0965	0.0821	0.0143	0
75	-438.4	-438.4	-425.8	500	0.0952	0.0829	0.0123	0
76	-512.8	-512.8	-426.0	500	0.0435	0.0461	-0.0026	0
77	-454.2	-454.2	-427.1	500	0.0323	0.0232	0.0092	0
78	-451.2	-451.2	-427.5	500	0.0894	0.0796	0.0098	0
79	-435.1	-432.4	-427.8	500	0.0958	0.0823	0.0135	0
80	-448.8	-448.8	-427.8	500	0.0872	0.0770	0.0102	0
81	-422.9	-422.9	-428.1	500	0.0988	0.0834	0.0154	0
82	-431.0	-431.0	-428.0	500	0.0845	0.0707	0.0138	0
83	-519.8	-519.8	-428.1	500	0.0249	0.0289	-0.0040	0
84	-564.8	-560.2	-429.1	500	0.0367	0.0487	-0.0120	0
85	-282.9	-232.9	-430.7	500	0.0918	0.0383	0.0534	0
86	-272.2	-281.3	-428.4	500	0.0772	0.0335	0.0437	0
87	-495.0	-495.0	-426.7	500	0.0636	0.0626	0.0010	0
88	-473.4	-473.4	-427.5	500	0.0446	0.0393	0.0053	0
89	-425.5	-425.5	-428.0	500	0.1022	0.0873	0.0149	0
90	-509.9	-443.0	-428.0	500	0.0426	0.0312	0.0114	0
91	-469.1	-469.1	-428.1	500	0.0602	0.0540	0.0062	0
92	-193.9	-359.0	-428.6	500	0.0825	0.0543	0.0282	0
93	-602.8	-602.8	-427.8	500	0.0281	0.0487	-0.0206	0
94	-448.3	-448.3	-429.7	500	0.0840	0.0737	0.0103	0
95	-385.9	-392.6	-429.9	500	0.0628	0.0413	0.0215	0
96	-479.9	-514.3	-429.5	500	0.0310	0.0339	-0.0029	0
97	-408.4	-12.2	-430.4	500	0.1092	0.0116	0.0976	0
98	-488.8	-488.8	-426.1	500	0.0616	0.0594	0.0022	0
99	-448.2	-448.2	-426.7	500	0.0779	0.0675	0.0104	0
100	-254.2	486.0	-426.9	166	0.0832	0.0027	0.0805	1
101	-249.6	-132.0	-417.9	500	0.0936	0.0200	0.0736	0
102	-475.0	-475.0	-415.1	500	0.0653	0.0603	0.0050	0
103	-270.5	-325.8	-415.7	500	0.0951	0.0602	0.0348	0
104	-613.4	-545.6	-414.8	500	0.0177	0.0268	-0.0091	0
105	-521.5	-507.5	-416.1	500	0.0316	0.0331	-0.0015	0
106	-520.8	-520.8	-416.9	500	0.0433	0.0475	-0.0042	0
107	-460.5	-460.5	-417.9	500	0.0292	0.0213	0.0079	0
108	-429.7	-430.3	-418.3	500	0.0694	0.0555	0.0139	0
109	-465.4	-465.4	-418.4	500	0.0380	0.0310	0.0069	0
110	-153.2	-154.0	-418.8	500	0.1097	0.0405	0.0692	0
111	-466.1	-466.1	-416.4	500	0.0499	0.0431	0.0068	0
112	-428.4	-428.4	-416.9	500	0.0982	0.0839	0.0143	0
113	-421.4	-421.4	-417.0	500	0.0989	0.0832	0.0157	0
114	-527.6	-527.6	-417.0	500	0.0517	0.0572	-0.0055	0
115	-414.6	-414.6	-418.0	500	0.1001	0.0830	0.0171	0
116	-501.5	-501.5	-418.0	500	0.0427	0.0430	-0.0003	0
117	-613.4	-613.4	-418.7	500	0.0210	0.0437	-0.0227	0
118	-483.9	-483.9	-420.3	500	0.0416	0.0384	0.0032	0
119	-469.5	-469.5	-420.9	500	0.0640	0.0580	0.0061	0
120	-430.6	-349.1	-421.3	500	0.1006	0.0704	0.0302	0
121	-96.2	-169.1	-420.7	500	0.1034	0.0372	0.0662	0
122	-354.5	-243.2	-418.6	500	0.1202	0.0689	0.0514	0
123	-506.0	-406.2	-417.2	500	0.0706	0.0518	0.0188	0
124	-461.7	-461.7	-417.1	500	0.0614	0.0537	0.0077	0
125	-447.9	-447.9	-417.4	500	0.0822	0.0717	0.0104	0
126	-477.9	-477.8	-417.7	500	0.0476	0.0431	0.0044	0
127	-433.7	-433.7	-418.2	500	0.0913	0.0781	0.0133	0
128	-465.6	-465.6	-418.3	500	0.0661	0.0593	0.0069	0
129	-463.8	-472.2	-418.7	500	0.0557	0.0502	0.0056	0
130	-440.3	-440.3	-419.1	500	0.0792	0.0672	0.0119	0
131	-545.4	-545.4	-419.2	500	0.0411	0.0502	-0.0091	0
132	-497.5	-497.5	-420.2	500	0.0560	0.0555	0.0005	0
133	-477.7	-477.7	-420.8	500	0.0646	0.0601	0.0045	0
134	-432.6	-432.6	-421.2	500	0.0854	0.0719	0.0135	0
135	-374.8	-402.1	-421.3	500	0.0799	0.0603	0.0196	0
136	-262.1	-217.0	-421.1	500	0.1017	0.0451	0.0566	0
137	-478.2	-478.2	-419.6	500	0.0696	0.0652	0.0044	0
138	-493.6	-466.7	-420.1	500	0.0627	0.0560	0.0067	0
139	-380.7	-398.7	-420.4	500	0.0498	0.0295	0.0203	0
140	-465.2	-465.2	-420.2	500	0.0701	0.0632	0.0070	0
141	-474.6	-474.6	-420.6	500	0.0679	0.0628	0.0051	0
142	-174.6	-182.8	-420.9	500	0.0777	0.0142	0.0634	0
143	-447.4	-443.1	-419.3	500	0.0660	0.0546	0.0114	0
144	-531.8	-531.8	-419.4	500	0.0465	0.0528	-0.0064	0
145	-590.8	-590.3	-420.2	500	0.0188	0.0368	-0.0181	0
146	-198.8	-207.9	-421.4	500	0.1000	0.0416	0.0584	0
147	-409.3	-409.3	-419.9	500	0.1107	0.0925	0.0181	0
148	-535.7	-535.7	-419.9	500	0.0437	0.0508	-0.0071	0
149	-191.9	-301.9	-420.6	500	0.0864	0.0468	0.0396	0
150	-434.2	-434.2	-419.8	500	0.0830	0.0698	0.0132	0
151	-498.9	-498.9	-419.9	500	0.0607	0.0605	0.0002	0
152	-459.9	-459.9	-420.5	500	0.0514	0.0434	0.0080	0
153	-465.5	-337.7	-420.7	500	0.0542	0.0217	0.0325	0
154	-501.6	-501.6	-420.2	500	0.0588	0.0591	-0.0003	0
155	-446.1	-370.5	-420.7	500	0.0913	0.0654	0.0259	0
156	-503.6	-503.6	-420.4	500	0.0572	0.0579	-0.0007	0
157	-443.7	-426.8	-420.9	500	0.0797	0.0651	0.0146	0
158	-359.6	-297.6	-421.0	500	0.1154	0.0749	0.0405	0
159	-483.2	-483.2	-420.2	500	0.0795	0.0761	0.0034	0
160	-437.4	-437.4	-420.6	500	0.0816	0.0691	0.0125	0
161	-498.3	-482.9	-420.7	500	0.0282	0.0248	0.0034	0
162	-405.7	-276.4	-421.1	500	0.1071	0.0624	0.0447	0
163	-481.4	-481.4	-420.2	500	0.0690	0.0652	0.0037	0
164	-494.5	-494.5	-420.5	500	0.0667	0.0656	0.0011	0
165	-430.1	-466.8	-421.0	500	0.0504	0.0438	0.0066	0
166	-491.5	-491.5	-421.3	500	0.0331	0.0314	0.0017	0
167	-583.4	-583.4	-421.7	500	0.0321	0.0488	-0.0167	0
168	-438.5	-438.5	-422.7	500	0.0942	0.0819	0.0123	0
169	-488.5	-488.5	-422.7	500	0.0216	0.0193	0.0023	0
170	-402.6	-394.4	-423.1	500	0.0845	0.0634	0.0211	0
171	-450.6	-450.6	-423.0	500	0.0869	0.0770	0.0099	0
172	-556.2	-556.2	-423.1	500	0.0294	0.0406	-0.0112	0
173	-482.0	-482.0	-423.9	500	0.0429	0.0392	0.0036	0
174	-444.6	-444.6	-424.2	500	0.0313	0.0202	0.0111	0
175	-385.0	-278.9	-424.3	500	0.0925	0.0483	0.0442	0
176	-516.0	-516.0	-423.5	500	0.0444	0.0476	-0.0032	0
177	-409.0	-409.0	-424.0	500	0.1149	0.0967	0.0182	0
178	-440.4	-440.4	-424.0	500	0.0792	0.0672	0.0119	0
179	-470.4	-470.4	-424.0	500	0.0646	0.0587	0.0059	0
180	-459.2	-376.6	-424.3	500	0.0535	0.0289	0.0247	0
181	-507.2	-507.2	-424.0	500	0.0595	0.0609	-0.0014	0
182	-537.5	-537.5	-424.5	500	0.0257	0.0332	-0.0075	0
183	-487.7	-487.7	-425.1	500	0.0651	0.0626	0.0025	0
184	-459.0	-453.7	-425.5	500	0.0546	0.0454	0.0093	0
185	-377.1	-377.2	-425.6	500	0.0734	0.0489	0.0246	0
186	-482.8	-482.8	-425.3	500	0.0402	0.0368	0.0034	0
187	-452.0	-440.9	-425.7	500	0.0708	0.0590	0.0118	0
188	-300.9	-278.9	-425.7	500	0.1081	0.0638	0.0442	0
189	-405.3	-405.3	-425.0	500	0.1115	0.0925	0.0189	0
190	-487.4	-509.1	-424.9	500	0.0207	0.0226	-0.0018	0
191	-465.2	-465.2	-425.3	500	0.0788	0.0718	0.0070	0
192	-489.7	-394.4	-425.5	500	0.0674	0.0462	0.0211	0
193	-422.0	-422.0	-425.3	500	0.0991	0.0835	0.0156	0
194	-419.2	-419.2	-425.3	500	0.1040	0.0879	0.0162	0
195	-511.3	-511.3	-425.3	500	0.0258	0.0281	-0.0023	0
196	-451.6	-451.6	-425.7	500	0.0777	0.0680	0.0097	0
197	-157.0	-206.2	-425.9	500	0.0996	0.0408	0.0588	0
198	-520.0	-493.7	-424.8	500	0.0336	0.0323	0.0013	0
199	-573.0	-301.3	-425.1	500	0.0740	0.0343	0.0397	0
200	-427.2	-430.5	-424.5	500	0.0432	0.0293	0.0139	0
201	-377.7	-219.3	-424.5	500	0.0851	0.0290	0.0561	0
202	-453.8	-453.8	-423.5	500	0.0739	0.0647	0.0092	0
203	-453.2	-453.2	-423.6	500	0.0603	0.0510	0.0094	0
204	-403.6	-403.6	-423.8	500	0.1130	0.0937	0.0193	0
205	-546.3	-546.3	-423.7	500	0.0401	0.0493	-0.0093	0
206	-429.8	-418.4	-424.3	500	0.0956	0.0792	0.0163	0
207	-462.1	-462.1	-424.3	500	0.0749	0.0673	0.0076	0
208	-462.2	-450.5	-424.4	500	0.0227	0.0128	0.0099	0
209	-494.0	-494.0	-424.6	500	0.0450	0.0439	0.0012	0
210	-547.4	-547.4	-424.9	500	0.0340	0.0435	-0.0095	0
211	-467.1	-467.1	-425.5	500	0.0458	0.0392	0.0066	0
212	-444.7	-444.7	-425.7	500	0.0903	0.0792	0.0111	0
213	-488.2	-488.2	-425.8	500	0.0480	0.0456	0.0024	0
214	-19.4	-58.1	-426.1	500	0.1122	0.0238	0.0884	0
215	-604.2	-604.2	-424.3	500	0.0238	0.0446	-0.0208	0
216	-438.3	-467.3	-425.2	500	0.0435	0.0369	0.0065	0
217	-375.6	-389.6	-425.4	500	0.0888	0.0667	0.0221	0
218	-452.0	-452.0	-425.2	500	0.0799	0.0703	0.0096	0
219	-448.2	-448.2	-425.3	500	0.0891	0.0787	0.0104	0
220	-456.5	-456.5	-425.4	500	0.0766	0.0679	0.0087	0
221	-497.4	-497.4	-425.6	500	0.0568	0.0563	0.0005	0
222	-434.7	-434.7	-425.9	500	0.0916	0.0785	0.0131	0
223	-516.0	-516.0	-425.9	500	0.0471	0.0503	-0.0032	0
224	-460.4	-460.4	-426.3	500	0.0728	0.0649	0.0079	0
225	-442.4	-442.4	-426.5	500	0.0800	0.0685	0.0115	0
226	-480.2	-480.2	-426.6	500	0.0466	0.0426	0.0040	0
227	-451.2	-451.2	-426.8	500	0.0772	0.0675	0.0098	0
228	-355.5	-332.6	-426.9	500	0.0795	0.0460	0.0335	0
229	-428.1	-428.1	-426.5	500	0.0849	0.0705	0.0144	0
230	-480.2	-480.2	-426.5	500	0.0660	0.0620	0.0040	0
231	-442.1	-442.1	-426.7	500	0.0907	0.0791	0.0116	0
232	-441.6	-432.1	-426.8	500	0.0853	0.0717	0.0136	0
233	-427.8	-427.8	-426.8	500	0.0985	0.0840	0.0144	0
234	-454.3	-488.7	-426.8	500	0.0619	0.0597	0.0023	0
235	-267.4	-271.1	-427.1	500	0.0936	0.0478	0.0458	0
236	-440.2	-440.2	-426.4	500	0.0691	0.0571	0.0120	0
237	-427.6	-427.6	-426.5	500	0.0835	0.0690	0.0145	0
238	-467.9	-467.9	-426.5	500	0.0201	0.0137	0.0064	0
239	-575.8	-575.8	-426.7	500	0.0330	0.0482	-0.0152	0
240	-554.2	-554.2	-427.3	500	0.0207	0.0315	-0.0108	0
241	-444.7	-444.7	-427.8	500	0.0835	0.0724	0.0111	0
242	-436.8	-436.8	-427.9	500	0.0914	0.0787	0.0126	0
243	-451.4	-451.4	-427.9	500	0.0729	0.0632	0.0097	0
244	-416.4	-416.4	-428.0	500	0.1048	0.0881	0.0167	0
245	-413.1	-413.1	-428.0	500	0.1024	0.0850	0.0174	0
246	-495.0	-495.0	-427.9	500	0.0442	0.0432	0.0010	0
247	-460.9	-460.9	-428.2	500	0.0831	0.0753	0.0078	0
