HYPERPARAMS
version: 9	h1_size: 2048	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
0	-365.2	0.0	500	0.0543	0.0274	0.0270	0
1	-291.4	-365.2	500	0.0545	0.0128	0.0417	0
2	-236.7	-328.3	500	0.0747	0.0220	0.0527	0
3	-326.0	-297.8	500	0.0668	0.0320	0.0348	0
4	-214.0	-304.8	500	0.0829	0.0257	0.0572	0
5	-314.5	-286.7	500	0.0647	0.0276	0.0371	0
6	-502.5	-291.3	500	0.0108	0.0113	-0.0005	0
7	-333.6	-321.5	500	0.0442	0.0109	0.0333	0
8	-183.1	-323.0	500	0.0715	0.0082	0.0634	0
9	-135.6	-307.4	500	0.0813	0.0084	0.0729	0
10	-154.7	-290.3	500	0.0809	0.0119	0.0691	0
11	-98.5	-277.9	500	0.1005	0.0202	0.0803	0
12	-331.2	-263.0	500	0.0391	0.0054	0.0338	0
13	-314.1	-268.2	500	0.0606	0.0234	0.0372	0
14	-139.4	-271.5	500	0.0841	0.0120	0.0721	0
15	-145.9	-262.7	500	0.0848	0.0140	0.0708	0
16	-325.6	-255.4	500	0.0546	0.0197	0.0349	0
17	-408.7	-259.5	500	0.0306	0.0124	0.0183	0
18	-114.1	-267.8	500	0.0988	0.0216	0.0772	0
19	-355.5	-259.7	500	0.0530	0.0241	0.0289	0
20	-448.0	-264.5	500	0.0401	0.0297	0.0104	0
21	-48.2	-273.3	500	0.1026	0.0123	0.0904	0
22	-351.1	-263.0	500	0.0530	0.0232	0.0298	0
23	-72.9	-266.9	500	0.1010	0.0155	0.0854	0
24	-525.2	-258.8	500	0.0256	0.0307	-0.0050	0
25	-291.1	-269.4	500	0.0722	0.0304	0.0418	0
26	-264.1	-270.3	500	0.0698	0.0227	0.0472	0
27	-97.8	-270.0	500	0.0918	0.0114	0.0804	0
28	-61.4	-263.9	500	0.0975	0.0098	0.0877	0
29	-406.9	-256.9	500	0.0654	0.0468	0.0186	0
30	-407.4	-261.9	500	0.0291	0.0106	0.0185	0
31	-499.3	-266.6	500	0.0318	0.0317	0.0001	0
32	-473.5	-273.9	500	0.0303	0.0250	0.0053	0
33	504.7	-279.9	158	0.0855	0.0029	0.0826	1
34	478.3	-256.8	127	0.0739	0.0027	0.0712	1
35	-485.0	-235.8	500	0.0584	0.0554	0.0030	0
36	270.9	-242.8	297	0.0664	0.0030	0.0634	1
37	-409.9	-228.9	500	0.0509	0.0329	0.0180	0
38	-174.1	-233.6	500	0.0833	0.0181	0.0652	0
39	-42.9	-232.1	500	0.1059	0.0145	0.0914	0
40	-207.6	-227.4	500	0.0762	0.0177	0.0585	0
41	-358.7	-226.9	500	0.0466	0.0183	0.0283	0
42	515.4	-230.0	181	0.0922	0.0028	0.0894	1
43	-503.1	-212.7	500	0.0675	0.0681	-0.0006	0
44	-7.9	-219.3	500	0.1073	0.0088	0.0984	0
45	-193.8	-214.6	500	0.0759	0.0147	0.0612	0
46	-214.9	-214.2	500	0.0874	0.0304	0.0570	0
47	-489.3	-214.2	500	0.0189	0.0167	0.0021	0
48	-99.1	-219.9	500	0.1051	0.0249	0.0802	0
49	-548.9	-217.4	500	0.0239	0.0337	-0.0098	0
50	-232.9	-224.1	500	0.0705	0.0170	0.0534	0
51	-350.1	-224.2	500	0.0389	0.0089	0.0300	0
52	-167.3	-226.7	500	0.0830	0.0165	0.0665	0
53	-289.8	-225.5	500	0.0908	0.0487	0.0420	0
54	-187.3	-226.7	500	0.0815	0.0189	0.0625	0
55	-185.6	-226.0	500	0.0880	0.0251	0.0629	0
56	-372.5	-225.3	500	0.0577	0.0322	0.0255	0
57	-80.8	-227.9	500	0.1051	0.0212	0.0838	0
58	-211.7	-225.3	500	0.0727	0.0151	0.0577	0
59	-71.9	-225.1	500	0.1084	0.0228	0.0856	0
60	-150.3	-222.5	500	0.0821	0.0121	0.0699	0
61	-438.9	-221.4	500	0.0451	0.0328	0.0122	0
62	-285.0	-224.9	500	0.0483	0.0053	0.0430	0
63	-163.0	-225.8	500	0.0844	0.0171	0.0674	0
64	-332.2	-224.8	500	0.0638	0.0303	0.0336	0
65	-214.4	-226.5	500	0.0797	0.0226	0.0571	0
