COMMENT: reward function gives -1 when staying at same distance or leaving goal, else it gives -0.5. This was wrongly implemented by me but see the result at bottom. average reward -100 -> agent is doing nothing all the time. Interesting!
HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 0.01
##################################################
EP	reward	steps	info
1	-153.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0762.
2	-154.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0746.
3	-156.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1055.
4	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1305.
5	-334.5	171	ACTUATOR: l1 = 0.0740 @step 171
6	-151.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1439.
7	-144.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0762.
8	120.0	113	GOAL!!! DISPLACEMENT 0.0047m @step 113
9	-320.5	151	ACTUATOR: l3 = 0.1260 @step 151
10	-275.5	101	ACTUATOR: l3 = 0.1260 @step 101
11	-335.0	184	ACTUATOR: l1 = 0.1260 @step 184
12	-329.0	180	ACTUATOR: l3 = 0.1260 @step 180
13	-152.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1182.
14	-241.0	58	ACTUATOR: l3 = 0.1260 @step 58
15	-256.0	81	ACTUATOR: l3 = 0.1260 @step 81
16	-321.0	157	ACTUATOR: l3 = 0.1260 @step 157
17	-266.5	94	ACTUATOR: l3 = 0.1260 @step 94
18	-144.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0546.
19	-153.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1216.
20	-147.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1364.
21	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0386.
22	-151.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1166.
23	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0753.
24	-147.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0918.
25	-151.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0723.
